version,attack,scale,metric,mean,std,median,q1,q3,min,max,n
v2.1,collusion-ring,50,Success Rate,0.93,0.02,0.93,0.92,0.94,0.89,0.96,20
v2.2,collusion-ring,50,Success Rate,0.93,0.02,0.93,0.92,0.94,0.91,0.96,20
v2.3,collusion-ring,50,Success Rate,0.93,0.02,0.93,0.92,0.94,0.89,0.96,20
v2.1,collusion-ring,50,Fraud (sats),36.85,22.84,28.5,16.75,55,12,86,20
v2.2,collusion-ring,50,Fraud (sats),39,24.21,40,17.5,54.25,6,100,20
v2.3,collusion-ring,50,Fraud (sats),44.95,30.82,36.5,29.25,58.25,0,118,20
v2.1,collusion-ring,50,Mal. Routing,0.18,0.12,0.17,0.06,0.29,0.05,0.38,20
v2.2,collusion-ring,50,Mal. Routing,0.21,0.13,0.23,0.09,0.28,0.05,0.51,20
v2.3,collusion-ring,50,Mal. Routing,0.21,0.12,0.23,0.09,0.31,0.05,0.4,20
v2.1,collusion-ring,50,Recovery (rds),0.3,0.73,0,0,0,0,3,20
v2.2,collusion-ring,50,Recovery (rds),0.45,0.83,0,0,1,0,3,20
v2.3,collusion-ring,50,Recovery (rds),0.4,0.94,0,0,0.25,0,4,20
v2.1,collusion-ring,50,Concentration,0.14,0.01,0.14,0.13,0.15,0.12,0.15,20
v2.2,collusion-ring,50,Concentration,0.14,0.01,0.14,0.14,0.15,0.13,0.16,20
v2.3,collusion-ring,50,Concentration,0.14,0.01,0.15,0.14,0.15,0.13,0.15,20
