attack,scale,comparison,metric,mannWhitney_U,z,pValue,effectSize_r,cliffsDelta,delta_interpretation,significant
collusion-ring,50,v2.1_vs_v2.2,Success Rate,184.5,-0.4193,0.675,0.0775,-0.0775,negligible,false
collusion-ring,50,v2.1_vs_v2.2,Fraud (sats),194.5,-0.1488,0.8817,0.0275,-0.0275,negligible,false
collusion-ring,50,v2.1_vs_v2.2,Mal. Routing,183,-0.4599,0.6456,0.085,-0.085,negligible,false
collusion-ring,50,v2.1_vs_v2.2,Recovery (rds),179.5,-0.5545,0.5792,0.1025,-0.1025,negligible,false
collusion-ring,50,v2.1_vs_v2.2,Concentration,182.5,-0.4734,0.6359,0.0875,-0.0875,negligible,false
collusion-ring,50,v2.1_vs_v2.3,Success Rate,181.5,0.5004,0.6168,0.0925,0.0925,negligible,false
collusion-ring,50,v2.1_vs_v2.3,Fraud (sats),169.5,-0.825,0.4094,0.1525,-0.1525,small,false
collusion-ring,50,v2.1_vs_v2.3,Mal. Routing,177.5,-0.6086,0.5428,0.1125,-0.1125,negligible,false
collusion-ring,50,v2.1_vs_v2.3,Recovery (rds),190,-0.2705,0.7868,0.05,-0.05,negligible,false
collusion-ring,50,v2.1_vs_v2.3,Concentration,136,-1.7312,0.0834,0.32,-0.32,small,false
collusion-ring,50,v2.2_vs_v2.3,Success Rate,168,0.8656,0.3867,0.16,0.16,small,false
collusion-ring,50,v2.2_vs_v2.3,Fraud (sats),185.5,-0.3922,0.6949,0.0725,-0.0725,negligible,false
collusion-ring,50,v2.2_vs_v2.3,Mal. Routing,198.5,-0.0406,0.9676,0.0075,-0.0075,negligible,false
collusion-ring,50,v2.2_vs_v2.3,Recovery (rds),189,0.2976,0.766,0.055,0.055,negligible,false
collusion-ring,50,v2.2_vs_v2.3,Concentration,159.5,-1.0955,0.2733,0.2025,-0.2025,small,false
