attack,scale,comparison,metric,mannWhitney_U,z,pValue,effectSize_r,cliffsDelta,delta_interpretation,significant
strategic-default,50,v2.1_vs_v2.2,Success Rate,194,0.1623,0.8711,0.03,0.03,negligible,false
strategic-default,50,v2.1_vs_v2.2,Fraud (sats),194.5,0.1488,0.8817,0.0275,0.0275,negligible,false
strategic-default,50,v2.1_vs_v2.2,Mal. Routing,169.5,0.825,0.4094,0.1525,0.1525,small,false
strategic-default,50,v2.1_vs_v2.2,Recovery (rds),172.5,-0.7439,0.457,0.1375,-0.1375,negligible,false
strategic-default,50,v2.1_vs_v2.2,Concentration,175,0.6763,0.4989,0.125,0.125,negligible,false
strategic-default,50,v2.1_vs_v2.3,Success Rate,180,0.541,0.5885,0.1,0.1,negligible,false
strategic-default,50,v2.1_vs_v2.3,Fraud (sats),158,-1.1361,0.2559,0.21,-0.21,small,false
strategic-default,50,v2.1_vs_v2.3,Mal. Routing,195.5,-0.1217,0.9031,0.0225,-0.0225,negligible,false
strategic-default,50,v2.1_vs_v2.3,Recovery (rds),176,-0.6492,0.5162,0.12,-0.12,negligible,false
strategic-default,50,v2.1_vs_v2.3,Concentration,173,0.7304,0.4652,0.135,0.135,negligible,false
strategic-default,50,v2.2_vs_v2.3,Success Rate,185.5,0.3922,0.6949,0.0725,0.0725,negligible,false
strategic-default,50,v2.2_vs_v2.3,Fraud (sats),160,-1.082,0.2793,0.2,-0.2,small,false
strategic-default,50,v2.2_vs_v2.3,Mal. Routing,168.5,-0.8521,0.3942,0.1575,-0.1575,small,false
strategic-default,50,v2.2_vs_v2.3,Recovery (rds),189.5,0.284,0.7764,0.0525,0.0525,negligible,false
strategic-default,50,v2.2_vs_v2.3,Concentration,195.5,-0.1217,0.9031,0.0225,-0.0225,negligible,false
