experiment_id,policy,attack,agents,seed,success_rate,fraud_sats,mal_routing_rate,recovery_rds,concentration,max_round_fraud
exp_PRICE_collusion-ring_100a_10s_1778314985470,PRICE,collusion-ring,100,10,0.9100,68.0,0.3567,0.0,0.1389,0.0
exp_PRICE_collusion-ring_100a_11s_1778315011794,PRICE,collusion-ring,100,11,0.9167,66.0,0.4300,2.0,0.1439,0.0
exp_PRICE_collusion-ring_100a_12s_1778315034978,PRICE,collusion-ring,100,12,0.9067,83.0,0.5467,0.0,0.1383,0.0
exp_PRICE_collusion-ring_100a_13s_1778315057342,PRICE,collusion-ring,100,13,0.8867,103.0,0.4667,0.0,0.1317,0.0
exp_PRICE_collusion-ring_100a_14s_1778315084392,PRICE,collusion-ring,100,14,0.8900,128.0,0.5633,0.0,0.1372,0.0
exp_PRICE_collusion-ring_100a_15s_1778315112027,PRICE,collusion-ring,100,15,0.9033,53.0,0.4133,0.0,0.1464,0.0
exp_PRICE_collusion-ring_100a_16s_1778315140094,PRICE,collusion-ring,100,16,0.8733,130.0,0.5100,0.0,0.1422,0.0
exp_PRICE_collusion-ring_100a_17s_1778315169325,PRICE,collusion-ring,100,17,0.8700,115.0,0.4667,0.0,0.1314,0.0
exp_PRICE_collusion-ring_100a_18s_1778315197735,PRICE,collusion-ring,100,18,0.9167,59.0,0.4267,0.0,0.1467,0.0
exp_PRICE_collusion-ring_100a_19s_1778315223832,PRICE,collusion-ring,100,19,0.8867,110.0,0.5000,0.0,0.1431,0.0
exp_PRICE_collusion-ring_100a_1s_1778314713452,PRICE,collusion-ring,100,1,0.9000,109.0,0.4000,2.0,0.1447,0.0
exp_PRICE_collusion-ring_100a_20s_1778315251882,PRICE,collusion-ring,100,20,0.9300,59.0,0.5233,0.0,0.1472,0.0
exp_PRICE_collusion-ring_100a_2s_1778314743672,PRICE,collusion-ring,100,2,0.9133,67.0,0.3933,0.0,0.1572,0.0
exp_PRICE_collusion-ring_100a_3s_1778314775206,PRICE,collusion-ring,100,3,0.9033,90.0,0.5500,0.0,0.1436,0.0
exp_PRICE_collusion-ring_100a_42s_1778279991328,PRICE,collusion-ring,100,42,0.8733,117.0,0.5600,0.0,0.1428,0.0
exp_PRICE_collusion-ring_100a_4s_1778314809846,PRICE,collusion-ring,100,4,0.9100,85.0,0.3667,0.0,0.1300,0.0
exp_PRICE_collusion-ring_100a_5s_1778314842450,PRICE,collusion-ring,100,5,0.9233,61.0,0.3900,1.0,0.1450,0.0
exp_PRICE_collusion-ring_100a_6s_1778314872243,PRICE,collusion-ring,100,6,0.9133,56.0,0.3567,0.0,0.1483,0.0
exp_PRICE_collusion-ring_100a_7s_1778314900637,PRICE,collusion-ring,100,7,0.8967,89.0,0.3800,0.0,0.1308,0.0
exp_PRICE_collusion-ring_100a_8s_1778314927947,PRICE,collusion-ring,100,8,0.9100,57.0,0.3967,0.0,0.1461,0.0
